ID,Name,Lat,Lng,Region
901145,مؤسسة محل جملا جهيم صياح الشملاني للتكييف والتبريد,24.11703,47.28026,Center
900984,مؤسسة بوفية ثلاثمائة لتقديم الوجبات,17.49986,47.11557,South
898162,مؤسسة فهد عمير فهد البيشي للمقاولات,24.56781,46.7416,Center
926038,مؤسسة شواية السيب,19.59488,41.52726,South
1060886,MARYAM MOHAMMED ALATAWI Dives  For fast food,0,0,
992560,kar tahnoon Car Repair Shop Commercial,24.67213,46.8521,
932236,مؤسسة محل بدر حيدر ابراهيم حكمي للتجارة,17.10169,42.78357,South
905064,مؤسسة كيان الوادي لتأجير المعدات,25.35667,49.74729,East
977439,Salma Hathlan bin Farraj AlDosari For Trading Establishment,0,0,
735761,مؤسسة كول كارز للزينة والتلميع,30.95413,41.00681,North
1236472,مؤسسة لارا فيصل سالم الغامدي,24.67112,46.84063,
932325,مؤسسة اميره سالم بامسعود,0,0,
735814,مطعم شمسه مناور غلول الحازمي لتقديم الوجبات,30.98495,41.02142,North
363205,مؤسسة شريفه محمد الشهري التجارية,0,0,
524986,بوفية ركن البيت العربي الحديث لتقديم الوجبات,17.13357,42.83104,South
445893,خياط فوزيه صالح الحازمي للخياطة الرجالية,24.45624,39.61388,North
524798,مغسلة أبشر وتم لخدمات السيارات,17.81603,42.36012,South
493242,محل حلا عيسى ابن موسم المعبدى للحوم الطازجة,21.59402,39.17192,West
518993,Ostorat Thobak For Gents Tailoring Establishment,24.67079,46.84232,
525643,مطعم بيزا اليوم للوجبات السريعة,18.37832,42.00518,South
933124,Establishment SAMI JAMAAN ALZAHRANI,0,0,
896822,مؤسسة حسن عبدالله علي عبدالكريم التجارية,21.80999,39.05644,West
699352,مؤسسة سامي مريزيق المطيري للمقاولات,24.86065,46.58997,Center
1109505,Ibda alShamal Retail Store For food products,0,0,
815062,مؤسسة أنهار الوفاء للمواد الغذائية,24.81314,46.74959,Center
725300,محل غصن عهد للزهور,17.78729,41.94121,South
405818,مؤسسة نايف ابراهيم غياض العنزي للتجارة,24.78193,46.62864,Center
937819,مؤسسة بنشر عنبره عبده يحي الزبيدي لخدمات السيارات,28.3619,36.51389,North
462718,مطعم الرفاع لتقديم الوجبات,25.45265,49.64275,East
476196,مؤسسة هاجر عبدالله محمد العلاسي للخياطة الرجالية,21.61498,39.16029,West
904004,مؤسسة ورشة يوسف بن عبيد بن حميد الشريف لمكينيكا السيارات,24.39432,39.5942,North
918699,مؤسسة غزلان الجوهرة التجارية,24.64114,46.71832,Center
494214,صالون فاطمه عبدالله عائض احمري للحلاقة الرجالية,21.60096,39.16517,West
499288,مغاسل فريد كمال محمد قطب علام لغسيل الملابس,21.60546,39.164,West
937525,مؤسسة مطعم رسيل الطائف لتقديم الوجبات,16.8884,42.56855,South
440907,مطعم سمك وسمج لتقديم الوجبات,26.2068,50.20837,East
1014396,Taihah Yahya Muhammad AlHaqawi Restaurant For fast food Establishment,0,0,
910763,مؤسسة راويه محمد بن احمد دبيش للمقاولات العامة,28.37921,36.5466,North
526092,شركة الجوكر التجارية,18.1866,42.66124,South
900582,مؤسسة نجلاء عبدالله محارب الحربي التجارية,0,0,
929799,مؤسسة نوره بنت  خميس الزهراني,21.30913,40.36898,South
1179223,Noura Talq Mushaan AlSuhaili Laundry For laundry Establishment,0,0,
1102195,nur almasarat Establishment,24.57445,46.53919,Center
908477,مؤسسة حاتم علي ناصر عسيري للمقاولات,19.13907,41.0719,South
1244685,مؤسسة الميل الفضي التجارية,0,0,
1113693,BADIYAH HASSAN HURAYSI Establishment,0,0,
734790,مؤسسة مرور الساعة للصيانة,18.30634,42.7291,South
513143,مؤسسة حلا ماذي للتجارة,24.59185,46.5721,Center
523925,مؤسسة الفلك السيار لبيع الجوالات وصيانتها,26.23824,36.4583,North
993105,مؤسسة اريام محمد سعيد الشمراني لتقديم الوجبات,21.79588,39.13689,West
901056,مؤسسة ملحمة أصل الحاشي التجارية,21.4293,40.48812,South
890680,بقالة سما طيبة للمواد الغذائية,24.59228,46.62478,Center
919324,مؤسسة ريمان ابراهيم فيصل القناوي التجارية,21.40622,39.80936,West
1207541,مؤسسة تقطير القهوة,0,0,
610346,مؤسسة مطر بن احمد بن مصبح الزهراني التجارية,21.3803,39.81545,West
1030169,Manahil Alnakhil Roasters For coffee,0,0,
922035,مؤسسة دانة السلام,26.56676,49.985,East
905995,مؤسسة دار بينات للدعاية والاعلان,26.3676,43.96772,Center
1052064,alqiyasat almutamayiza Establishment,0,0,
771096,مؤسسة فيصل عبدالله عبيدالله الهذلي للخضار والفواكه,21.07368,40.31107,South
1060578,SHAJANAH SALEH HARAZI Establishment,0,0,
398233,مطعم ركن بوش امدر لتقديم الوجبات,24.61938,46.73071,Center
903506,مؤسسة رزان خالد سعيد الغامدي التجارية,21.53173,39.3011,West
1066981,مؤسسة حسناء سعدي لافي السعدي,0,0,
913053,مؤسسة العاب رهف,24.66724,46.53621,Center
